run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
89,358.0742167114258,377.91376607686533,399.64389584472656,5000,42
90,358.06968003555295,377.9134273077392,399.66441090759275,5000,42
91,358.06398600006105,377.9128792377853,399.67428659973143,5000,42
92,358.06472422683714,377.9146727548352,399.6922837153626,5000,42
93,358.05559399780276,377.9131182994552,399.70098409851073,5000,42
94,358.0358616120911,377.91177453178295,399.72266493408205,5000,42
95,358.02523456451416,377.9109680158422,399.7337702209473,5000,42
96,358.02067373046873,377.9091070176441,399.74404014892576,5000,42
97,358.0089452185059,377.909376508511,399.7606283837891,5000,42
98,357.9996460916137,377.90821468642855,399.77293466018676,5000,42
99,357.9957252761841,377.90964103486056,399.7918855108643,5000,42
100,357.98733726531987,377.91063187793026,399.79992159957885,5000,42
101,357.9821042388916,377.9114533427919,399.81187164001466,5000,42
102,357.9741518522644,377.91165246995047,399.82017860107425,5000,42
103,357.97058476898195,377.9123432105795,399.8334473614502,5000,42
104,357.96688801086424,377.91242303255666,399.84191295135497,5000,42
105,357.9604277270508,377.91109054745635,399.8528241186524,5000,42
106,357.9537823135376,377.9106831871754,399.8543160942078,5000,42
107,357.9451226376343,377.90948518739424,399.8652794052124,5000,42
108,357.9344416427612,377.9068430396762,399.87594144729616,5000,42
109,357.93841174133297,377.90709034978266,399.8881111688233,5000,42
110,357.9375220239258,377.90847208029936,399.8836850611877,5000,42
111,357.93542386169435,377.9072922425951,399.8843112136841,5000,42
112,357.93236851898195,377.9081491692666,399.888851625061,5000,42
113,357.9305565966797,377.9082969498617,399.8988704638672,5000,42
114,357.9291476417541,377.90742989785673,399.90623557769777,5000,42
115,357.925998996582,377.9054036187473,399.90147299621583,5000,42
116,357.9233849433899,377.90463432390874,399.9035369659424,5000,42
117,357.9240580511474,377.9018092690494,399.89762710083005,5000,42
118,357.91827591415404,377.9003130431098,399.90172009002686,5000,42
119,357.91934589752196,377.9007049549772,399.90209935638427,5000,42
120,357.9209850708008,377.9016853505452,399.9024457624817,5000,42
121,357.9251279968262,377.9003025165144,399.8947503601074,5000,42
